cell/mut	ADH7	ANP32A-IT1	APOOL	ARAF	BRWD3	BTBD11	BTN3A1	C17orf76-AS1	C1QL4	C1R	CCDC15	CCDC97	CES3	COBLL1	COL5A2	CP	CPEB2	CUX1	DDX19A	DFNB31	DGCR8	DOCK5	DOCK5	DST	F5	FAM47B	FAT1	FGD6	FGF3	FRZB	GALNT13	GJA5	IARS2	IKBKB	IL1RL1	ITPKB	KLRF1	KRAS	LEPROT	LINC00602	MANBA	MATR3	MAU2	NAMPT	NBPF10	NHS	NOM1	OR6B3	PAK7	PER2	PLK2	PNCK	PPM1F	PPP1R3E	PPP4R4	RAPGEF5	RNF180	SDPR	SEMA6A	SERPINA1	SERPINB11	SH3BP1	SIGLEC11	SLC7A9	SORL1	SRGN	SYN1,TIMP1	TBX22	THRAP3	TMEM87A	TRHR	TSHZ2	TSIX	TUG1	VAX1	VWDE	ZNF568	ZNF813
cell11	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell12	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell13	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell14	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell15	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell16	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell17	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell18	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell19	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell20	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell21	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell22	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell23	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell24	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell25	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell26	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell27	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell28	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell29	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell30	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell31	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell32	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell33	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell34	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell35	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell36	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell37	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell38	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell39	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell40	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell41	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell42	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell43	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell44	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell45	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell46	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell47	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell48	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell49	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell50	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell51	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell52	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell53	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell54	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell55	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell56	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell57	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell58	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell59	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell60	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell61	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell62	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell63	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell64	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell65	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell66	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell67	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell68	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell69	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell70	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell71	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell72	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell73	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell74	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell75	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0
cell76	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell77	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell78	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell79	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0
cell80	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
cell81	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1
